,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.TCPTP- R5,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R4,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
1833,959540000.0,1029100000.0,1335700000.0,1131300000.0,1141600000.0,992160000.0,1217800000.0,1329900000.0,1279100000.0,653270000.0,1245300000.0,1162700000.0,981310000.0,338060000.0,1285500000.0,1177700000.0,1328100000.0,1300800000.0,1243100000.0,1275400000.0
1834,301070000.0,381180000.0,435060000.0,300780000.0,391180000.0,199990000.0,294540000.0,372140000.0,251430000.0,154160000.0,309070000.0,381750000.0,308600000.0,82398000.0,396420000.0,244990000.0,316150000.0,310330000.0,279780000.0,313340000.0
1835,116130000.0,24494000.0,21293000.0,127840000.0,35146300.0,59969000.0,19399000.0,26455000.0,42473000.0,11676000.0,115310000.0,43375270.0,18551000.0,12710000.0,27875000.0,31102000.0,30323190.0,27941380.0,61892000.0,22489000.0
1836,299860000.0,346130000.0,357790000.0,299750000.0,334300000.0,263800000.0,291810000.0,378510000.0,317400000.0,187950000.0,361990000.0,342160000.0,307130000.0,82499000.0,321450000.0,279710000.0,325410000.0,358690000.0,307060000.0,334200000.0
1837,271710000.0,272380000.0,392050000.0,279110000.0,329710000.0,225180000.0,251650000.0,323520000.0,303700000.0,154670000.0,289800000.0,234000000.0,255160000.0,90919000.0,253210000.0,282970000.0,290060000.0,317270000.0,320210000.0,298480000.0
1838,85877000.0,108930000.0,135410000.0,99298000.0,119130000.0,71306000.0,80609000.0,92354000.0,84086000.0,46358000.0,68559000.0,75289000.0,57922000.0,30519000.0,73131000.0,85015000.0,102030000.0,98324000.0,107990000.0,88400000.0
1839,93607000.0,74665000.0,60596000.0,86999000.0,77568000.0,111700000.0,64998000.0,65186000.0,85961000.0,65364000.0,106380000.0,59456000.0,79670000.0,47357000.0,68786000.0,91469000.0,82451000.0,82053000.0,110840000.0,111450000.0
1840,66894000.0,64230000.0,78144000.0,70754000.0,66670000.0,74802000.0,75565000.0,91757000.0,82773000.0,44587000.0,89131000.0,58413000.0,53264000.0,21679000.0,70012000.0,73531000.0,72316000.0,61640000.0,78677000.0,70171000.0
1841,61927000.0,62195000.0,98484000.0,72281000.0,87161000.0,67230000.0,75661000.0,93632000.0,81650000.0,31151000.0,77499000.0,62770000.0,51416000.0,13623000.0,70014000.0,80014000.0,93250000.0,91240000.0,87304000.0,85511000.0
1842,51557000.0,66528000.0,64797000.0,56496000.0,65251000.0,53380000.0,58333000.0,65923000.0,54936000.0,34890000.0,69356000.0,54353000.0,50294000.0,16896000.0,58309000.0,50511000.0,57890000.0,52344000.0,53545000.0,58061000.0
1843,67111000.0,67413000.0,89252000.0,62524000.0,68135000.0,62673000.0,75210000.0,75384000.0,74690000.0,42421000.0,74449000.0,61743000.0,67167000.0,23147000.0,71253000.0,64385000.0,64381000.0,70925000.0,68016000.0,73022000.0
1844,19831000.0,25628000.0,34512000.0,18982000.0,21162000.0,22406000.0,22419000.0,24813000.0,15527000.0,14278000.0,23897000.0,22927000.0,19160000.0,6260000.0,23934000.0,30726000.0,30373000.0,26715000.0,26368000.0,28736000.0
1845,61295000.0,125550000.0,131800000.0,107140000.0,140260000.0,35478000.0,54404000.0,107960000.0,55893000.0,34243000.0,109910000.0,123420000.0,101280000.0,28572000.0,166150000.0,114710000.0,158840000.0,160230000.0,97171000.0,148020000.0
1846,224040000.0,17457000.0,29118000.0,121620000.0,34512000.0,271550000.0,14109000.0,37340000.0,155130000.0,4646100.0,277960000.0,8459800.0,7614600.0,71108000.0,2860000.0,288930000.0,7491000.0,18149000.0,205750000.0,16704000.0
1847,15770000.0,13709854.0,14063409.0,17751000.0,13835576.0,10921000.0,11485924.0,13103842.0,11626000.0,10468745.0,14830000.0,13455276.0,12148599.0,9064400.0,13775479.0,8079000.0,11893176.0,11998623.0,9453300.0,12006871.0
1848,31896000.0,43747000.0,42178000.0,35934000.0,41931000.0,36229000.0,38375000.0,51598000.0,50072000.0,21273000.0,45678000.0,46662000.0,44408000.0,12831000.0,49164000.0,32555000.0,45102000.0,32147000.0,38457000.0,40517000.0
1849,65422000.0,68431000.0,81407000.0,72419000.0,76319000.0,69853000.0,85868000.0,93952000.0,69339000.0,40647000.0,75954000.0,88116000.0,58906000.0,19981000.0,68652000.0,64371000.0,78517000.0,75770000.0,76419000.0,79428000.0
1850,236840000.0,242770000.0,280010000.0,226050000.0,242970000.0,224190000.0,262210000.0,328150000.0,258390000.0,137580000.0,286370000.0,274010000.0,235690000.0,58038000.0,296000000.0,250970000.0,255120000.0,258790000.0,239180000.0,267390000.0
1851,67299000.0,76459000.0,80935000.0,70215000.0,71890000.0,74226000.0,84887000.0,91939000.0,72892000.0,47766000.0,78086000.0,66050000.0,66093000.0,19266000.0,69920000.0,65273000.0,80259000.0,78145000.0,90283000.0,76489000.0
1852,382630000.0,426120000.0,470310000.0,396740000.0,430870000.0,331160000.0,348800000.0,378500000.0,356670000.0,194500000.0,360280000.0,376750000.0,316380000.0,107800000.0,361000000.0,410450000.0,419510000.0,417880000.0,439160000.0,442980000.0
1853,193630000.0,216190000.0,268130000.0,228410000.0,240020000.0,142150000.0,178920000.0,221110000.0,190570000.0,95994000.0,201040000.0,199250000.0,159910000.0,44687000.0,205950000.0,193360000.0,246660000.0,224760000.0,224310000.0,235110000.0
1854,107020000.0,112600000.0,150270000.0,104660000.0,136040000.0,85166000.0,111220000.0,117620000.0,98431000.0,62472000.0,111090000.0,122130000.0,108690000.0,30594000.0,127600000.0,97437000.0,118370000.0,103680000.0,105390000.0,111310000.0
