,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
1059,5700900.0,6172000.0,7769300.0,11066000.0,6733000.0,5462600.0,4862000.0,6269600.0,7346100.0,9589700.0,6855200.0,4602900.0,8838500.0,12252000.0,4820900.0,5126400.0,11438000.0,5313700.0
1060,56465000.0,54328000.0,61762000.0,51027000.0,57811000.0,73959000.0,79086000.0,91876000.0,79761000.0,65090000.0,56683000.0,51411000.0,60804000.0,76590000.0,80601000.0,82839000.0,82982000.0,78236000.0
1061,27819000.0,36921000.0,42234000.0,35188000.0,28070000.0,14411000.0,18027000.0,18692000.0,17215000.0,27203000.0,36156000.0,28503000.0,37528000.0,20715000.0,33477000.0,28473000.0,24675000.0,29431000.0
1062,3610098.1,1975600.0,2853023.9,3302376.2,839970.0,4069013.3,6149400.0,6396400.0,4521201.6,3600588.6,3769079.8,4537600.0,3414546.6,3459521.2,2924270.6,1279000.0,3066925.1,3343351.5
1063,13243000.0,16755000.0,22702000.0,16653000.0,20777000.0,15830000.0,21242000.0,26663000.0,18520000.0,28092000.0,22888000.0,20011000.0,24016000.0,18407000.0,16126000.0,18619000.0,18920000.0,22562000.0
1064,10046000.0,10975170.0,13985000.0,8224000.0,13521000.0,10078540.0,10369770.0,11329080.0,10298880.0,10984460.0,11126840.0,10208560.0,10211000.0,10396230.0,11257190.0,11038410.0,10914630.0,11300920.0
1065,21146000.0,27200000.0,33869000.0,24953000.0,28371000.0,18648000.0,22344000.0,26984000.0,21075000.0,32182000.0,30674000.0,26813000.0,36639000.0,21980000.0,30463000.0,28777000.0,27458000.0,25349000.0
1066,11497000.0,14954000.0,15233000.0,15486330.0,13362000.0,16972000.0,16838000.0,17209000.0,15441000.0,18203000.0,17356000.0,17284000.0,13973000.0,17913000.0,23237000.0,23458000.0,20160130.0,24912000.0
1067,6096400.0,10540000.0,3449200.0,8088600.0,2381900.0,8047300.0,9271500.0,10838000.0,8928600.0,8088500.0,12896000.0,8885800.0,3800300.0,9640600.0,10016000.0,10387000.0,12381000.0,7576600.0
1068,25396000.0,30615830.0,34385180.0,30890000.0,32601260.0,20215000.0,28395000.0,31755320.0,23988000.0,33283000.0,43194000.0,33741000.0,34168150.0,20565000.0,30010180.0,29045100.0,23696000.0,29874270.0
1069,49919000.0,64668000.0,57378000.0,69910000.0,62301000.0,50864000.0,65873000.0,66464920.0,69686000.0,66952000.0,41846000.0,61137000.0,66579000.0,63365000.0,72952000.0,65676000.0,71684000.0,73803000.0
1070,63516000.0,60894000.0,77426000.0,61660000.0,74774000.0,60224000.0,73714000.0,78857000.0,79539000.0,95075000.0,83741000.0,67745000.0,87637000.0,78563000.0,81300000.0,80395000.0,83610000.0,76533000.0
1071,49773000.0,51433000.0,62035000.0,55356000.0,61111000.0,35036000.0,38857000.0,48864000.0,44388000.0,61617000.0,47826000.0,45492000.0,67513000.0,54617000.0,68500000.0,59130000.0,91928000.0,61765000.0
1072,15615000.0,14412000.0,26945000.0,18820000.0,21790000.0,12660000.0,17932000.0,30867000.0,19868000.0,20991000.0,28290000.0,35461000.0,22895000.0,17362000.0,18628000.0,22250000.0,20596000.0,22136000.0
1073,176990000.0,170300000.0,193460000.0,219860000.0,173110000.0,177150000.0,147690000.0,176250000.0,206430000.0,230420000.0,163660000.0,137890000.0,188310000.0,192360000.0,180640000.0,159660000.0,291270000.0,163780000.0
1074,13284300.0,13426000.0,16828000.0,13815040.0,13869000.0,13023140.0,12094000.0,13585000.0,13270670.0,14341510.0,13848000.0,12249000.0,14180000.0,14452430.0,15992000.0,15359000.0,15055390.0,14730000.0
1075,31837000.0,28652000.0,28277000.0,24115000.0,25999000.0,22127000.0,29891000.0,24346000.0,22110000.0,26611000.0,25735000.0,19123000.0,31387000.0,23052000.0,27018000.0,26083000.0,23064000.0,24713000.0
